Clemson University,Acadia,Arches,Badlands,Big Bend,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns *,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Everglades,Gateway Arch,Glacier,Grand Canyon *,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde *,Mount Rainier,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood *,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,Wind Cave,Yellowstone,Yosemite *,Zion
0,1649.430067,2421.547178,1967.04582,2017.103723,2260.045565,2650.186519,2451.534569,2560.146471,2024.393637,3348.191652,213.9868679,3497.153871,737.1918991,3073.997054,1053.33818,790.0101843,2998.577673,2657.413888,2600.242597,2832.764742,2061.781752,127.9882248,2070.54475,936.7501134,3034.046286,3220.543782,3447.935783,404.7846588,2324.548922,3508.711045,3504.639758,3657.888439,2456.264489,3456.580514,3654.643789,2101.129189,2577.584449,3237.078615,586.3275089,2199.072996,1745.332863,2031.911329,2600.927066,3292.505233,2728.43182
1649.430067,0,3471.603399,2728.573109,3510.360519,3329.333589,3731.036258,3522.192231,3620.825979,3412.09819,4494.151548,1596.43295,4270.900031,1143.199486,4166.602784,2403.828671,1935.231091,3490.910287,3803.380627,3375.371574,3833.172794,3191.984092,1619.582742,3461.268982,2388.36454,4226.08295,4275.010661,4330.015746,1702.364231,3456.044117,4104.680771,4011.745936,4197.266745,3667.521068,4498.043771,4485.736742,3081.826072,3885.417602,4304.370449,1064.45559,2738.504303,1942.367962,2810.110688,3326.429128,4298.295257,3813.375957
2421.547178,3471.603399,0,817.0791499,1197.235807,161.5606464,259.8961143,61.86130609,149.5023707,859.1183772,1024.004337,2633.265216,1156.706347,2400.429167,695.9804294,3066.381579,1683.792964,1179.136785,369.2531166,570.2321149,412.0224838,370.8719878,2328.235395,862.9444249,1546.396826,785.877086,818.1647463,1044.378732,2064.439125,191.6601755,1345.314941,1452.146609,1525.969145,401.0581015,1051.669478,1264.642637,392.5149213,718.3690454,842.372001,2706.178125,1047.321795,1727.512428,745.5437465,662.0493178,873.8157613,341.8923999
1967.04582,2728.573109,817.0791499,0,1610.448625,722.7753374,1066.914553,877.339215,954.2471138,1296.490268,1817.46368,2178.344265,1588.064186,1739.800168,1476.818613,2829.07714,1177.164021,1047.500285,1185.222499,668.3355613,1118.937517,715.0886585,1850.781026,1329.369346,1309.593413,1601.934063,1564.165768,1609.301903,1566.699889,888.4482203,1544.422304,1539.115469,1690.90752,1148.610501,1778.261093,1782.232785,450.9456119,1455.366723,1597.262605,2100.274514,365.5176653,910.8011748,81.53954957,646.4225477,1574.332216,1143.90687
2017.103723,3510.360519,1197.235807,1610.448625,0,1112.96955,1240.286439,1169.115572,1233.478934,343.199717,1620.086836,2187.831705,2268.130997,2370.427503,1487.167235,2248.575812,1590.805061,2356.067317,1124.147136,1741.522209,1482.315162,963.6180873,1981.838471,334.2934409,1126.707591,1301.476814,1653.500224,2076.658893,1820.621151,1005.608633,2526.899557,2646.648106,2708.409837,891.6834701,1854.098176,2303.321191,1255.055248,769.5103275,1646.507416,2512.225537,1967.009531,2313.708718,1589.199191,1819.965386,1780.177816,1275.510603
2260.045565,3329.333589,161.5606464,722.7753374,1112.96955,0,406.7465893,197.4048186,304.1972637,769.9344579,1165.264524,2471.720253,1305.559778,2248.750759,845.7286933,2911.910551,1524.757559,1243.22712,480.6397043,628.5551947,573.4846519,214.9764932,2167.02818,781.9346562,1386.839616,906.4622848,974.6453796,1203.314917,1903.99689,168.4983526,1468.291713,1560.733341,1647.225193,429.6670686,1209.300697,1421.868434,274.1636691,745.1624838,997.1379875,2549.208039,996.0321885,1624.435301,659.5694577,708.5881036,1034.399314,489.2177178
2650.186519,3731.036258,259.8961143,1066.914553,1240.286439,406.7465893,0,209.9130058,113.0644549,926.57464,764.1088425,2860.133822,1032.187535,2655.386592,439.0166998,3246.013764,1927.779892,1256.255229,167.609036,693.9071657,242.6985906,588.7591024,2561.297207,916.4327807,1753.817487,537.7610824,571.9298322,869.923008,2302.930202,329.6643612,1296.791825,1435.552212,1477.63438,351.2588742,807.8414628,1097.479161,652.2133255,609.8046965,592.1114316,2954.457436,1266.662475,1977.398597,992.2879662,793.3294354,646.0228783,82.622042
2451.534569,3522.192231,61.86130609,877.339215,1169.115572,197.4048186,209.9130058,0,108.614988,834.8385154,972.0756561,2662.519184,1155.617646,2445.57438,648.8509509,3077.963409,1721.332527,1222.346774,308.1498757,618.4654591,390.4105507,391.8525091,2360.255967,835.4011872,1566.93261,727.1600222,777.5907462,1029.253486,2099.084684,170.1365876,1363.32563,1477.54771,1544.553429,347.5977085,1012.598583,1252.390638,447.6310384,662.1548541,799.7658504,2746.484347,1109.028338,1787.389776,806.4176909,712.3864415,841.0134886,292.5284547
2560.146471,3620.825979,149.5023707,954.2471138,1233.478934,304.1972637,113.0644549,108.614988,0,906.8037347,875.8036083,2771.108724,1063.495989,2549.469399,546.4802189,3181.003753,1828.920353,1199.489967,252.650047,614.9123986,286.0962168,500.0162454,2468.822543,902.6393183,1674.121686,648.9057539,670.6167471,926.2597943,2207.352253,262.0752385,1293.421727,1418.579677,1474.931574,368.9011517,905.1060683,1150.905596,540.3735806,662.928675,693.8505891,2853.146305,1160.875436,1864.885176,880.0131,712.9926805,732.3994484,193.461147
2024.393637,3412.09819,859.1183772,1296.490268,343.199717,769.9344579,926.57464,834.8385154,906.8037347,0,1412.000501,2214.063705,1958.750125,2270.020937,1225.855586,2412.567159,1477.169082,2012.910166,830.7593832,1398.478592,1169.038345,624.5067202,1968.265078,49.17159857,1090.952273,1085.574644,1392.377339,1784.492784,1766.860438,668.1559315,2197.435064,2310.979325,2378.818088,590.6151831,1608.828545,2012.683937,918.9399296,571.3125085,1391.793614,2464.664815,1645.371422,2056.916077,1268.132416,1476.778592,1508.961602,971.7196495
3348.191652,4494.151548,1024.004337,1817.46368,1620.086836,1165.264524,764.1088425,972.0756561,875.8036083,1412.000501,0,3552.514854,1018.33726,3409.346736,342.5645279,3824.567397,2662.592471,1702.849085,701.9254167,1311.333893,717.0819643,1320.754618,3269.498933,1378.647827,2422.468421,326.4718898,319.4689102,742.618466,3024.35136,1050.312052,1439.261848,1638.156253,1587.271707,892.3292094,316.4877335,904.0818762,1416.132063,854.6413536,276.8068873,3693.498694,1968.309353,2722.277166,1739.614014,1403.102489,423.9196604,682.3767455
