"","Clemson University","Acadia","Arches","Badlands","Big Bend","Black Canyon of the Gunnison","Bryce Canyon","Canyonlands","Capitol Reef","Carlsbad Caverns *","Channel Islands","Congaree","Crater Lake","Cuyahoga Valley","Death Valley","Everglades","Gateway Arch","Glacier","Grand Canyon *","Grand Teton","Great Basin","Great Sand Dunes","Great Smoky Mountains","Guadalupe Mountains","Hot Springs","Joshua Tree","Kings Canyon","Lassen Volcanic","Mammoth Cave","Mesa Verde *","Mount Rainier","North Cascades","Olympic","Petrified Forest","Pinnacles","Redwood *","Rocky Mountain","Saguaro","Sequoia","Shenandoah","Theodore Roosevelt","Voyageurs","Wind Cave","Yellowstone","Yosemite *","Zion"
"Clemson University",0,1649.43006723544,2421.54717814801,1967.0458197779,2017.10372301247,2260.04556490423,2650.18651871796,2451.53456894438,2560.1464707543,2024.39363738278,3348.19165176369,213.986867931654,3497.15387086605,737.191899115433,3073.99705419722,1053.33818009893,790.010184314619,2998.57767310964,2657.41388826315,2600.24259722637,2832.76474150708,2061.78175218807,127.988224822632,2070.54475038078,936.750113446069,3034.04628649113,3220.54378200463,3447.93578333668,404.784658768251,2324.54892229861,3508.71104531307,3504.63975807468,3657.8884387827,2456.26448915177,3456.5805135368,3654.64378946539,2101.12918874482,2577.58444905429,3237.07861452115,586.327508889876,2199.07299610119,1745.33286305741,2031.9113291635,2600.92706629236,3292.50523305826,2728.43182046048
"Acadia",1649.43006723544,0,3471.60339939606,2728.57310869198,3510.36051893123,3329.33358909181,3731.03625833287,3522.19223113936,3620.8259793032,3412.098190459,4494.15154786012,1596.4329500387,4270.9000305544,1143.19948610721,4166.60278352526,2403.82867069884,1935.23109129778,3490.91028650913,3803.3806271027,3375.37157429257,3833.17279414882,3191.98409210625,1619.58274197244,3461.26898227079,2388.36453973697,4226.08294979047,4275.01066110891,4330.01574556787,1702.36423106332,3456.04411712354,4104.68077080701,4011.74593566732,4197.26674476629,3667.52106768998,4498.04377113081,4485.73674211736,3081.82607182595,3885.41760210235,4304.37044889366,1064.45559035672,2738.50430282839,1942.36796176427,2810.11068759174,3326.42912830399,4298.29525681253,3813.37595650688
"Arches",2421.54717814801,3471.60339939606,0,817.079149868869,1197.23580706931,161.560646444385,259.896114298047,61.8613060872631,149.50237066093,859.118377154033,1024.00433679822,2633.26521585841,1156.70634661737,2400.42916730422,695.980429380256,3066.38157947948,1683.79296400001,1179.13678529692,369.253116608925,570.232114877458,412.022483768475,370.871987770522,2328.23539486931,862.944424864424,1546.39682592611,785.877085981628,818.164746327056,1044.37873168297,2064.43912451098,191.660175531594,1345.31494104583,1452.14660916656,1525.96914546024,401.058101465034,1051.66947821056,1264.64263682946,392.514921330445,718.369045410033,842.372000959344,2706.17812547623,1047.32179471624,1727.51242799337,745.543746457242,662.049317845537,873.815761269319,341.892399858293
"Badlands",1967.0458197779,2728.57310869198,817.079149868869,0,1610.44862459046,722.775337425039,1066.91455303411,877.339214998709,954.247113800259,1296.49026791432,1817.46368038624,2178.34426474299,1588.06418605653,1739.80016807512,1476.81861292973,2829.07713993695,1177.16402084355,1047.50028452223,1185.22249867125,668.335561273974,1118.93751686853,715.088658488949,1850.78102563779,1329.36934571224,1309.59341306045,1601.93406313983,1564.16576812081,1609.30190265545,1566.69988868537,888.448220330376,1544.42230399381,1539.11546940096,1690.90752028351,1148.61050108719,1778.26109311728,1782.23278520109,450.945611855538,1455.36672325215,1597.2626054295,2100.27451359618,365.517665337845,910.801174811585,81.5395495667331,646.422547713001,1574.33221569931,1143.90687004681
"Big Bend",2017.10372301247,3510.36051893123,1197.23580706931,1610.44862459046,0,1112.96954983998,1240.28643897899,1169.11557192814,1233.47893355655,343.19971700096,1620.08683587738,2187.83170518698,2268.13099688961,2370.42750299209,1487.16723546991,2248.57581227286,1590.80506113368,2356.06731748596,1124.14713611389,1741.52220877815,1482.31516183035,963.618087297716,1981.83847079257,334.29344093415,1126.70759147334,1301.47681444741,1653.50022357518,2076.65889336639,1820.62115062699,1005.60863250693,2526.89955691121,2646.64810576427,2708.40983743291,891.683470115146,1854.09817563755,2303.32119085452,1255.05524796494,769.510327541926,1646.50741606626,2512.22553683345,1967.00953089677,2313.70871788241,1589.19919112224,1819.96538563674,1780.17781616663,1275.51060262246
"Black Canyon of the Gunnison",2260.04556490423,3329.33358909181,161.560646444385,722.775337425039,1112.96954983998,0,406.746589270092,197.404818593833,304.197263702684,769.934457857742,1165.26452409889,2471.72025280288,1305.55977817293,2248.75075891321,845.728693262954,2911.91055067695,1524.75755884172,1243.22712020795,480.639704287598,628.555194683501,573.48465194588,214.976493241785,2167.0281799975,781.934656237302,1386.83961593516,906.462284756227,974.645379649357,1203.31491715386,1903.99688967084,168.498352648025,1468.29171334484,1560.73334061835,1647.22519290648,429.667068647875,1209.30069684539,1421.86843425757,274.163669129397,745.162483796407,997.137987487594,2549.20803917238,996.032188493812,1624.43530095431,659.569457669593,708.58810364366,1034.39931418177,489.217717817463
"Bryce Canyon",2650.18651871796,3731.03625833287,259.896114298047,1066.91455303411,1240.28643897899,406.746589270092,0,209.91300579132,113.064454919349,926.574639992854,764.108842535914,2860.13382194801,1032.18753497989,2655.38659239047,439.016699830632,3246.01376399489,1927.77989234192,1256.25522896227,167.609035964552,693.907165689592,242.698590630944,588.759102387514,2561.2972073483,916.432780745583,1753.81748689153,537.761082402699,571.929832199626,869.923007989289,2302.93020154553,329.664361205653,1296.79182452147,1435.55221239065,1477.63437970021,351.258874158096,807.841462754981,1097.47916119055,652.213325459877,609.804696524435,592.111431593935,2954.45743550735,1266.66247498191,1977.3985969195,992.287966158938,793.329435419986,646.022878322119,82.6220419961546
"Canyonlands",2451.53456894438,3522.19223113936,61.8613060872631,877.339214998709,1169.11557192814,197.404818593833,209.91300579132,0,108.614988015947,834.83851542016,972.075656135609,2662.51918372562,1155.61764612469,2445.57438033233,648.850950886903,3077.96340874333,1721.3325267907,1222.34677353467,308.149875682578,618.465459102362,390.410550659385,391.852509117996,2360.25596691892,835.401187210617,1566.93261023989,727.160022200504,777.590746206546,1029.25348639528,2099.0846838465,170.136587554406,1363.32562971947,1477.54770983849,1544.55342856449,347.597708497635,1012.59858288549,1252.39063763042,447.631038359296,662.154854139817,799.765850432489,2746.48434711319,1109.02833790664,1787.38977627565,806.417690927426,712.386441473931,841.0134886292,292.528454680974
"Capitol Reef",2560.1464707543,3620.8259793032,149.50237066093,954.247113800259,1233.47893355655,304.197263702684,113.064454919349,108.614988015947,0,906.803734746244,875.803608340317,2771.10872359951,1063.49598895799,2549.46939850115,546.480218853396,3181.00375274199,1828.92035325353,1199.48996682167,252.650047002488,614.912398580566,286.096216786119,500.016245421452,2468.82254291853,902.639318281231,1674.12168598622,648.90575394646,670.616747081713,926.259794257919,2207.35225268439,262.075238451901,1293.42172686113,1418.57967742282,1474.93157425387,368.901151702979,905.106068254001,1150.9055962452,540.373580582422,662.928674974529,693.850589090573,2853.1463046294,1160.87543606007,1864.88517613855,880.013100023149,712.992680531061,732.399448367214,193.461147009044
"Carlsbad Caverns *",2024.39363738278,3412.098190459,859.118377154033,1296.49026791432,343.19971700096,769.934457857742,926.574639992854,834.83851542016,906.803734746244,0,1412.00050063807,2214.06370536299,1958.75012452488,2270.02093712928,1225.85558641652,2412.56715932536,1477.1690824893,2012.91016604805,830.759383226604,1398.47859151797,1169.03834511795,624.506720160911,1968.26507834979,49.1715985694248,1090.95227311828,1085.57464421233,1392.37733850208,1784.49278421449,1766.86043827959,668.155931542204,2197.43506432553,2310.97932482218,2378.81808787307,590.615183149208,1608.82854471397,2012.68393743526,918.939929554934,571.312508521246,1391.79361353132,2464.66481475451,1645.37142195116,2056.91607734486,1268.132416164,1476.77859202175,1508.96160189218,971.71964950641
